"type","code","label","sort","description","is_design","create_by","create_date","update_by","update_date","del_flag"
"YesOrNo","NO","否","10","是否","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"YesOrNo","YES","是","20","是否","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"UserPosition","MANAGER","经理","10","职位","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"UserPosition","EMPLOYEE","员工","20","职位","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"UserSex","MALE","男","10","性别","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"UserSex","FEMALE","女","20","性别","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"UserState","NORMAL","正常","10","用户状态","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"UserState","LOCK","锁定","20","用户状态","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"LogType","NORMAL","正常","10","日志状态","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"LogType","EXCEPTION","异常","20","日志状态","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"DelFlag","NORMAL","正常","10","删除标识","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"DelFlag","DELETE","删除","20","删除标识","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"ResourceType","MENU","菜单","10","资源类型","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"ResourceType","BUTTON","按钮","20","资源类型","1","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","RUNNING","在用","10","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","STOP","停止","20","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","SCRAP","废弃","30","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","COMPLETE","完好","40","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","WAITCHECK","待检","50","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","TRANSFER","转让","60","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","WAITFIX","待修","70","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"FacStatus","CHECKED","已检","80","设备状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdLevel","0","无隐患","0","隐患级别","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdLevel","1","一般隐患","1001","隐患级别","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdLevel","2","重大隐患","1002","隐患级别","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdLevel","3","特大隐患","1003","隐患级别","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdLevel","4","灾难性隐患","1004","隐患级别","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdState","1","正在处理","1011","处理状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdState","2","已处理","1012","处理状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdState","3","未处理","1013","处理状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdType","1","第三方施工","1021","隐患类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdType","2","违章占压","1022","隐患类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdType","3","漏油","1023","隐患类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdType","4","穿越铁路","1024","隐患类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"hdType","5","穿越公路","1025","隐患类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"fmType","1","常规巡检任务","1031","巡检类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"fmType","2","特殊巡检任务","1032","巡检类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"fmType","3","人工巡检任务","1033","巡检类型","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"braOffice","1","西安分公司","1041","分公司","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"braOffice","2","延安分公司","1042","分公司","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"braOffice","3","汉中分公司","1043","分公司","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"braOffice","4","杨凌分公司","1044","分公司","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"pipeLine","2","靖西一线","1051","管道线","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"pipeLine","3","靖西二线","1052","管道线","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"pipeLine","4","西渭线","1053","管道线","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"pipeLine","5","西商线","1054","管道线","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"pipeLine","6","汉安线","1055","管道线","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"pipeLine","7","宝汉线","1056","管道线","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"pipeLine","8","咸宝线","1057","管道线","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"yhLaiyuan","0","卫星","1061","隐患来源","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"yhLaiyuan","1","无人机","1062","隐患来源","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"yhLaiyuan","2","人工上报","1063","隐患来源","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"fxState","0","计划飞行","1071","飞行状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"fxState","1","正在飞行","1072","飞行状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
"fxState","2","飞行结束","1073","飞行状态","0","0","1900/1/1 00:00:00","0","1900/1/1 00:00:00","NORMAL"
